Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Total_ratings,Total_reviews
HAIER ,5,Top Load,800,Automatic,12,22990,33000,30,4.3,32559,2811
IFB ,8,Front Load,1200,Automatic,7,34990,40690,14,4.3,3410,280
VOLTAS ,7,Top Load,1350,Semi Automatic,7,8549,12990,34,4.3,2041,146
VOLTAS ,8,Top Load,1300,Semi Automatic,7,14248,14890,4,4.4,20,2
SAMSUNG ,9,Top Load,700,Automatic,3,24999,31500,20,4.0,61,4
WHIRLPOOL ,8,Top Load,1400,Semi Automatic,5,11940,16999,29,4.4,5582,644
VOLTAS ,7,Top Load,1300,Semi Automatic,5,9190,15290,39,4.3,2207,158
WHIRLPOOL ,5,Top Load,1450,Semi Automatic,5,13900,18550,25,4.2,195,12
MIDEA ,7,Top Load,680,Automatic,2,15490,22990,32,4.1,1634,202
VOLTAS ,14,Top Load,1300,Semi Automatic,2,15490,24590,37,4.0,250,22
WHIRLPOOL ,5,Top Load,1450,Semi Automatic,5,12990,14990,13,4.3,438,31
ONIDA ,7,Top Load,750,Automatic,5,13990,21990,36,4.2,41160,4628
WHIRLPOOL ,8,Front Load,1200,Automatic,5,31990,46480,31,4.1,989,86
ACER ,5,Top Load,700,Automatic,10,12999,20999,38,4.0,3,1
IFB ,8,Top Load,1400,Automatic,10,35990,47290,23,4.4,41,4
GODREJ ,10,Top Load,650,Automatic,10,24990,40000,37,4.2,8195,726
VOLTAS ,8,Front Load,1200,Automatic,7,26800,53990,50,4.2,8195,726
CANDY ,8,Top Load,1300,Semi Automatic,7,10274,13490,23,4.2,820,88
VOLTAS ,7,Top Load,1350,Semi Automatic,7,8639,12990,33,4.1,326,23
ONIDA ,8,Top Load,1450,Semi Automatic,7,9990,13670,26,4.2,10346,930
HAIER ,8,Top Load,1200,Automatic,5,54990,55000,27,4.3,1249,154
IFB ,6,Front Load,800,Automatic,7,23590,27190,13,4.3,2054,198
SAMSUNG ,5,Front Load,1000,Automatic,20,24990,37200,32,4.4,28202,2671
WHIRLPOOL ,8,Top Load,1400,Semi Automatic,5,12790,16800,23,4.5,4,0
SAMSUNG ,10,Top Load,700,Automatic,20,29190,38000,23,3.8,37,2
WHIRLPOOL ,5,Top Load,740,Automatic,10,27570,27575,27,4.4,833,128
MIDEA ,6,Front Load,1000,Automatic,2,18635,29990,37,4.0,588,78
WHIRLPOOL ,5,Top Load,1400,Semi Automatic,7,13690,20950,34,4.4,47,3
WHIRLPOOL ,7,Top Load,1400,Semi Automatic,5,9967,14000,28,4.3,255,15
VOLTAS ,8,Top Load,720,Automatic,7,18650,37990,50,3.9,134,14
HAIER ,8,Front Load,1200,Automatic,5,33990,48990,30,4.3,1249,154
HAIER ,9,Top Load,1300,Semi Automatic,5,16727,30250,27,4.2,1074,78
GODREJ ,8,Top Load,1440,Semi Automatic,2,14160,17000,16,4.3,716,58
LLOYD ,8,Top Load,1300,Semi Automatic,5,11490,17590,34,4.3,2369,178
VOLTAS ,7,Top Load,1350,Semi Automatic,7,21623,30250,27,4.3,2041,146
SAMSUNG ,7,Top Load,700,Automatic,20,17900,22500,20,4.1,9,1
SAMSUNG ,5,Top Load,1300,Semi Automatic,7,11490,15900,27,4.4,10568,717
IFB ,5,Front Load,1400,Automatic,7,42290,47990,11,4.4,1011,117
INNOQ ,7,Top Load,1500,Automatic,7,6790,17990,62,4.2,1003,141
ELECTROLUX ,9,Front Load,1200,Automatic,10,41490,75990,45,4.2,50,10
PANASONIC ,7,Top Load,702,Automatic,10,33599,30250,27,4.2,78,9
BOSCH ,8,Front Load,1200,Automatic,2,34964,48190,27,4.5,762,50
VOLTAS ,6,Front Load,1200,Automatic,5,20590,36990,44,3.5,21,0
LG ,7,Top Load,780,Automatic,10,21490,24999,14,4.1,35,1
ACER ,5,Top Load,700,Automatic,10,15899,35999,55,4.1,1186,155
ONIDA ,7,Top Load,700,Automatic,5,14990,23490,36,4.3,575,78
BOSCH ,6,Top Load,1400,Automatic,7,61059,78290,22,4.4,66,4
LG ,10,Top Load,700,Automatic,10,32990,39361,16,4.4,317,21
GODREJ ,7,Top Load,665,Automatic,7,20990,27840,24,4.2,192,12
ELECTROLUX ,5,Top Load,1200,Automatic,10,52990,92990,43,3.0,7,1
VOLTAS ,8,Top Load,1300,Semi Automatic,7,11249,17390,35,4.4,44,6
BOSCH ,9,Top Load,720,Automatic,7,30999,45190,31,4.7,3,1
WHIRLPOOL ,7,Front Load,1200,Automatic,7,32600,46700,30,4.2,8195,726
SAMSUNG ,9,Top Load,1400,Automatic,20,51990,61500,15,4.4,742,79
WHIRLPOOL ,7,Top Load,1350,Semi Automatic,7,11639,14000,16,3.7,23,3
HAIER ,5,Top Load,0,Automatic,2,23800,33000,27,5.0,3,1
SAMSUNG ,8,Front Load,1400,Automatic,20,37990,59400,36,3.9,30,1
SAMSUNG ,9,Top Load,700,Automatic,20,25497,31500,19,4.0,61,4
LG ,7,Top Load,40,Automatic,10,65990,82990,20,4.2,8195,726
THOMSON ,10,Top Load,1400,Semi Automatic,2,12490,15499,19,4.3,118,17
LLOYD ,5,Top Load,680,Automatic,2,12751,19990,36,3.9,112,12
VOLTAS ,5,Top Load,1200,Automatic,12,22564,35590,36,3.8,136,14
